In	Amp	Phase
1.440176902967859052e-01	1.865876586859137021e+01	2.323052407312356848e+00
1.442168155205472979e-01	1.865054741602303423e+01	2.322583592721128021e+00
1.444162160636438541e-01	1.864233303828516952e+01	2.322114366292765464e+00
1.446158923067441537e-01	1.863412274072798525e+01	2.321644727689237797e+00
1.448158446310433278e-01	1.862591652870840520e+01	2.321174676572637541e+00
1.450160734182633360e-01	1.861771440759004292e+01	2.320704212605186001e+00
1.452165790506541043e-01	1.860951638274322661e+01	2.320233335449231493e+00
1.454173619109939419e-01	1.860132245954499197e+01	2.319762044767255560e+00
1.456184223825905122e-01	1.859313264337909288e+01	2.319290340221872082e+00
1.458197608492813879e-01	1.858494693963598721e+01	2.318818221475832164e+00
1.460213776954348841e-01	1.857676535371285809e+01	2.318345688192022358e+00
1.462232733059507239e-01	1.856858789101362106e+01	2.317872740033470880e+00
1.464254480662608437e-01	1.856041455694888853e+01	2.317399376663348054e+00
1.466279023623301425e-01	1.855224535693601950e+01	2.316925597744966758e+00
1.468306365806570646e-01	1.854408029639910183e+01	2.316451402941788196e+00
1.470336511082744602e-01	1.853591938076894508e+01	2.315976791917421451e+00
1.472369463327503902e-01	1.852776261548310188e+01	2.315501764335626600e+00
1.474405226421887649e-01	1.851961000598585372e+01	2.315026319860316040e+00
1.476443804252300374e-01	1.851146155772823221e+01	2.314550458155558932e+00
1.478485200710520364e-01	1.850331727616800492e+01	2.314074178885580313e+00
1.480529419693706883e-01	1.849517716676967893e+01	2.313597481714765980e+00
1.482576465104408769e-01	1.848704123500451857e+01	2.313120366307663378e+00
1.484626340850568604e-01	1.847890948635053476e+01	2.312642832328983822e+00
1.486679050845532979e-01	1.847078192629248150e+01	2.312164879443605603e+00
1.488734599008060544e-01	1.846265856032188069e+01	2.311686507316575323e+00
1.490792989262326729e-01	1.845453939393700082e+01	2.311207715613110558e+00
1.492854225537933177e-01	1.844642443264286769e+01	2.310728503998602967e+00
1.494918311769915242e-01	1.843831368195128206e+01	2.310248872138617848e+00
1.496985251898747538e-01	1.843020714738079135e+01	2.309768819698900799e+00
1.499055049870355039e-01	1.842210483445671798e+01	2.309288346345375942e+00
1.501127709636116692e-01	1.841400674871115228e+01	2.308807451744150807e+00
1.503203235152876516e-01	1.840591289568294187e+01	2.308326135561516335e+00
1.505281630382947489e-01	1.839782328091773067e+01	2.307844397463952202e+00
1.507362899294122649e-01	1.838973790996790925e+01	2.307362237118127268e+00
1.509447045859680092e-01	1.838165678839266448e+01	2.306879654190900908e+00
1.511534074058392685e-01	1.837357992175794763e+01	2.306396648349328338e+00
1.513623987874532784e-01	1.836550731563649919e+01	2.305913219260660618e+00
1.515716791297883059e-01	1.835743897560784177e+01	2.305429366592347762e+00
1.517812488323742603e-01	1.834937490725826237e+01	2.304945090012040509e+00
1.519911082952933867e-01	1.834131511618086563e+01	2.304460389187594771e+00
1.522012579191810711e-01	1.833325960797551701e+01	2.303975263787071626e+00
1.524116981052267283e-01	1.832520838824888187e+01	2.303489713478740430e+00
1.526224292551744965e-01	1.831716146261441480e+01	2.303003737931081929e+00
1.528334517713238749e-01	1.830911883669236317e+01	2.302517336812790472e+00
1.530447660565306123e-01	1.830108051610977071e+01	2.302030509792776236e+00
1.532563725142075395e-01	1.829304650650047037e+01	2.301543256540166560e+00
1.534682715483252913e-01	1.828501681350509500e+01	2.301055576724310825e+00
1.536804635634129168e-01	1.827699144277107735e+01	2.300567470014781346e+00
